RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
Bad,88,324,18,126,17,0,0,100,-7,7,8,17,0,6,-7,0,0,4,-8,5,1,1,75
Bad,73,164,10,75,7,0,0,100,-7,7,8,7,2,29,1,1,1,76,14,1,2,1,75
Bad,68,143,1,52,35,0,0,94,1,4,6,36,4,19,0,0,0,7,100,5,3,0,53
Good,75,203,2,79,41,0,0,98,42,6,6,43,4,19,1,2,2,16,9,6,2,1,73
Bad,59,180,5,55,45,1,1,80,0,4,4,49,6,65,1,2,2,20,87,7,4,0,80
Bad,62,298,16,62,30,1,1,97,21,6,3,53,0,32,-7,2,1,70,56,8,3,3,79
Good,70,-8,7,64,13,1,1,93,29,6,2,14,2,36,-7,0,0,54,83,4,2,0,100
Good,72,302,36,105,13,1,1,93,35,6,2,14,0,14,0,0,0,69,-8,5,-8,2,83
Bad,69,114,16,54,21,0,0,100,-7,7,8,21,0,48,0,4,4,57,80,8,3,2,92
Good,82,156,21,84,12,0,0,100,-7,7,8,12,0,42,0,0,0,73,68,3,2,0,100
Good,84,177,14,86,25,0,0,96,16,6,6,11,0,20,-7,0,0,1,-8,1,-8,0,11
Good,77,178,5,80,18,0,0,100,-7,7,8,18,3,39,4,2,2,24,-8,4,1,0,71
Bad,77,316,4,85,53,0,0,100,-7,7,8,57,4,21,0,1,1,20,97,10,4,3,50
Good,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Bad,63,137,5,70,10,4,4,92,6,0,2,13,1,75,-7,1,1,68,90,1,3,0,100
Bad,64,175,20,115,13,2,0,56,35,6,5,16,0,19,19,0,0,85,74,9,1,6,91
Bad,63,327,13,166,14,1,1,94,5,0,2,16,0,13,5,0,0,0,-8,1,1,0,27
Good,75,194,18,89,12,0,0,100,-7,7,8,12,0,17,3,2,2,87,61,1,2,1,100
Good,82,187,11,82,28,0,0,96,32,6,6,28,1,50,4,2,2,4,59,3,2,0,56
Bad,57,47,3,31,9,1,1,80,13,6,6,11,1,40,0,0,0,72,100,3,2,1,83
Good,75,130,1,61,20,0,0,100,-7,7,8,21,3,19,0,0,0,57,98,3,3,2,43
Bad,57,258,1,119,41,2,2,91,1,4,2,19,3,18,0,2,2,12,-8,6,2,2,38
Bad,69,193,7,62,15,0,0,100,-7,7,8,16,1,44,6,0,0,77,70,5,3,4,80
Bad,68,86,7,27,11,1,1,92,7,0,2,12,3,50,0,1,1,0,95,0,3,-8,50
Good,86,380,3,138,23,0,0,100,-7,7,8,23,1,13,0,1,1,5,99,3,2,0,42
Bad,63,10,2,6,1,0,0,100,-7,7,8,2,2,50,0,8,8,64,-8,1,1,-8,100
Bad,80,202,44,147,5,0,0,100,-7,7,8,5,0,0,0,1,0,77,-8,3,-8,1,100
Good,87,136,24,86,16,0,0,100,-7,7,8,6,0,38,0,2,2,0,-8,0,1,0,10
Bad,58,126,8,58,3,2,2,75,70,6,2,5,2,50,0,1,1,-8,50,-8,2,-8,100
Bad,60,170,7,59,21,0,0,96,57,6,6,26,3,69,0,2,2,88,-8,7,1,3,100
Good,78,167,0,66,33,0,0,100,-7,7,8,56,3,29,-7,0,0,0,76,2,4,0,43
Bad,59,183,2,72,34,0,0,94,4,4,6,35,3,37,3,1,1,43,87,8,2,3,63
Bad,59,153,18,89,31,2,0,79,0,4,5,38,0,24,-7,0,0,61,23,9,2,2,79
Bad,67,-8,6,57,18,1,1,100,-7,6,8,0,3,44,-7,5,5,31,77,4,2,1,86
Good,69,-8,3,128,25,1,1,100,-7,6,8,26,3,23,-7,1,1,45,81,3,3,1,50
Good,67,180,6,73,21,1,0,82,2,4,5,22,2,45,1,1,1,5,70,6,7,0,81
Good,79,168,9,58,21,0,0,90,76,6,6,21,3,38,0,0,0,27,88,5,3,0,62
Good,77,133,1,64,22,0,0,91,24,6,6,23,1,61,1,1,1,33,79,1,4,0,71
Good,69,-8,8,31,7,2,1,78,28,6,2,9,2,78,-7,1,1,8,33,1,3,0,80
Good,66,221,12,103,19,2,0,67,6,3,5,11,0,38,-7,0,0,23,44,3,4,1,89
Bad,57,260,10,136,9,3,3,82,2,0,2,11,1,18,0,1,1,34,-8,1,1,0,50
Bad,74,129,1,70,20,0,0,100,-7,7,8,22,3,32,-7,0,0,61,84,6,3,4,75
Bad,66,145,6,91,18,1,1,100,-7,6,8,19,1,21,0,2,2,67,8,7,2,3,69
Good,71,163,5,64,42,0,0,95,2,4,6,42,3,24,4,3,3,1,-8,4,1,0,31
Good,79,209,29,100,22,0,0,100,-7,7,8,22,0,36,-8,0,0,56,38,4,2,2,60
Bad,58,191,6,92,51,0,0,87,9,4,6,53,1,26,0,3,3,60,58,14,2,3,85
Bad,68,180,1,91,9,1,1,82,22,6,3,11,2,9,0,2,2,27,-8,4,-8,1,67
Good,74,203,1,66,27,0,0,93,3,4,6,30,1,20,0,3,3,2,86,2,2,0,57
