RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
Good,79,247,1,101,18,1,1,90,70,6,3,20,2,20,9,0,0,28,26,4,2,0,100
Bad,66,195,13,67,19,0,0,95,0,4,6,20,0,42,3,1,1,23,83,3,3,0,88
Good,77,510,14,174,25,2,2,100,-7,6,8,26,0,15,14,0,0,4,64,4,1,1,46
Bad,70,97,7,53,14,0,0,94,-8,6,6,16,1,38,0,1,1,17,69,2,3,0,60
Good,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Good,86,202,12,81,25,0,0,100,-7,7,8,6,0,28,-8,0,0,11,19,3,2,0,63
Good,88,302,9,105,22,0,0,100,-7,7,8,22,2,23,-8,0,0,2,15,5,2,0,64
Good,86,220,7,79,19,0,0,100,-7,7,8,19,1,0,0,0,0,2,-8,3,-8,0,21
Bad,71,247,3,72,49,0,0,100,-7,6,7,74,3,66,-7,2,2,83,61,10,5,1,94
Good,71,194,12,69,29,0,0,93,6,4,6,31,0,27,2,2,2,36,69,4,2,1,67
Good,57,163,6,62,15,4,4,89,4,1,3,19,3,16,0,2,2,21,-8,4,1,0,45
Bad,77,160,1,67,23,0,0,100,-7,7,8,33,4,17,-7,4,4,22,-8,5,1,0,55
Good,60,181,8,67,15,3,3,80,2,0,2,20,1,40,0,2,2,35,82,6,4,0,91
Bad,68,21,7,13,7,0,0,100,-7,7,8,7,2,86,2,2,2,19,90,1,5,-8,100
Bad,71,428,4,99,35,1,0,94,4,3,5,13,3,19,-7,1,1,8,67,6,2,1,50
Good,65,273,5,62,32,0,0,100,-7,7,8,51,4,59,-7,2,2,57,88,7,4,3,85
Bad,79,373,34,136,13,1,0,71,14,6,5,15,0,13,0,3,3,1,-8,2,1,0,38
Good,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Good,86,152,2,71,19,0,0,100,-7,7,8,20,1,50,0,4,4,2,-8,1,1,0,29
Bad,73,115,3,55,40,0,0,100,-7,7,8,40,6,58,7,0,0,58,79,4,4,1,82
Bad,70,84,1,46,16,0,0,94,-7,5,7,23,2,11,0,2,2,86,91,7,1,4,80
Bad,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Bad,77,-8,3,68,32,0,0,100,-7,7,8,39,2,31,3,1,1,31,80,5,2,1,70
Good,90,332,6,121,7,0,0,100,-7,7,8,11,1,0,23,0,0,14,-8,3,-8,0,60
Bad,77,173,18,101,41,0,0,98,-7,5,7,40,0,18,21,0,0,49,-8,13,1,5,64
Good,82,445,14,217,21,1,1,95,22,6,3,27,0,14,23,0,0,5,-8,4,-8,0,33
Bad,73,74,27,48,3,0,0,100,-7,7,8,3,0,100,0,2,2,-8,98,-8,1,-8,100
Bad,66,266,6,113,3,4,4,100,-7,6,8,3,1,33,0,0,0,91,-8,2,-8,1,100
Good,74,369,54,197,21,0,0,95,11,4,6,21,0,10,1,1,1,10,-8,5,2,0,44
Bad,66,218,33,90,12,1,1,87,1,4,2,15,0,20,0,0,0,0,-8,1,-8,1,33
Bad,47,57,57,57,1,1,1,0,2,4,6,1,0,0,0,2,2,93,-8,1,-8,1,100
Bad,79,21,1,11,1,0,0,100,-7,7,8,2,1,50,0,0,0,0,-8,0,1,-8,50
Bad,70,82,0,48,17,0,0,95,71,6,6,19,2,16,0,7,7,20,-8,5,-8,1,45
Bad,66,71,8,32,6,2,2,86,64,6,2,7,1,71,3,1,1,54,57,1,3,-8,100
Good,81,306,2,130,32,0,0,100,-7,7,8,34,1,35,1,2,2,8,99,3,2,1,35
Good,84,311,10,85,26,0,0,100,-7,7,8,26,1,31,0,0,0,8,23,3,2,0,36
Bad,73,78,2,39,29,0,0,100,-7,7,8,30,3,23,0,2,2,16,84,5,5,0,77
Bad,68,155,13,48,10,2,2,90,8,4,6,12,0,40,0,0,0,59,49,3,4,0,100
Good,58,122,4,55,38,1,1,98,2,1,3,41,5,44,0,3,3,4,94,3,3,0,46
Bad,73,288,5,44,13,0,0,100,-7,7,8,13,7,23,3,3,3,33,46,6,3,1,82
Good,76,400,3,97,17,1,1,94,35,6,6,17,2,18,2,1,1,2,96,4,2,0,75
Good,78,230,8,99,32,1,0,85,24,6,5,33,1,18,16,0,0,8,88,2,1,0,25
Bad,78,125,5,63,19,0,0,100,-7,7,8,20,1,55,-8,0,0,39,66,4,4,1,100
Bad,55,116,14,60,15,1,0,59,6,3,5,3,0,24,-7,0,0,85,8,3,2,2,83
Good,79,310,12,77,30,0,0,100,-7,7,8,34,0,35,0,1,1,59,-8,3,2,0,71
Good,88,206,3,81,31,0,0,100,-7,7,8,33,3,67,0,1,1,26,88,2,6,0,89
Good,75,154,5,76,16,0,0,94,42,6,6,18,2,12,4,2,2,42,-8,4,-8,1,50
Bad,70,283,6,92,10,1,1,100,-7,6,8,10,2,0,-7,0,0,44,-8,3,-8,0,75
Bad,64,82,6,43,20,1,0,90,7,4,5,21,1,43,3,7,4,62,91,7,4,1,73
Good,75,189,11,73,27,0,0,96,58,6,6,28,1,43,22,0,0,65,78,3,3,2,75
Good,86,155,3,68,33,0,0,100,-7,7,8,36,2,42,0,1,1,2,98,2,1,0,60
Good,79,171,7,79,40,0,0,100,-7,7,8,41,3,17,3,1,1,16,79,4,2,0,46
Bad,65,248,2,77,28,3,1,84,30,5,3,33,3,53,-7,0,0,31,34,8,4,1,80
Bad,86,206,26,89,15,0,0,100,-7,7,8,17,0,47,-7,0,0,5,-8,2,1,0,50
Good,77,196,3,75,37,0,0,95,16,6,6,34,2,30,-7,2,2,13,82,4,5,0,47
Good,86,153,14,75,11,0,0,100,-7,7,8,11,0,0,1,2,2,1,-8,1,-8,0,11
Good,78,214,6,112,20,0,0,95,15,6,6,16,3,30,9,0,0,24,23,5,3,0,80
Good,74,213,18,97,20,1,1,90,5,2,4,21,0,29,0,2,1,14,65,3,2,0,50
Good,78,141,6,63,22,0,0,100,-7,7,8,22,1,45,0,0,0,46,38,2,3,1,63
Good,82,190,2,52,25,0,0,100,-7,7,8,26,4,23,5,0,0,11,50,6,3,0,47
Good,65,409,6,72,33,0,0,92,5,4,6,36,3,53,0,0,0,17,58,3,3,2,41
Bad,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Bad,56,127,10,46,13,0,0,92,4,4,6,13,1,54,0,1,1,88,75,5,3,2,89
Bad,50,118,18,75,3,3,3,43,14,6,2,7,0,29,0,5,5,154,69,1,1,1,100
Bad,54,94,1,44,16,0,0,88,1,4,6,17,4,29,0,1,1,58,94,4,2,3,75
Bad,70,197,16,97,30,0,0,91,19,6,6,32,0,22,-7,4,4,44,-8,8,1,4,63
Bad,66,107,7,49,10,0,0,90,50,6,6,10,2,50,0,0,0,97,44,3,3,3,100
Good,56,308,7,98,23,8,7,75,12,0,2,28,1,46,-7,5,5,5,37,1,2,-8,43
