RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
Good,80,173,54,100,12,0,0,100,-7,7,8,13,0,31,0,3,3,69,43,4,2,1,86
Good,70,234,10,93,27,0,0,89,12,6,6,27,1,44,0,2,2,51,100,5,2,2,70
Good,65,63,4,19,8,0,0,88,36,6,6,13,5,25,-7,0,0,20,92,3,2,0,83
Good,87,171,6,141,40,0,0,100,-7,7,8,57,2,39,6,0,0,5,-8,2,2,0,31
Bad,70,117,3,50,18,0,0,89,15,6,6,18,4,50,7,0,0,42,83,2,3,0,63
Bad,66,92,2,59,4,2,2,83,25,6,6,6,1,83,-7,1,1,-8,-8,1,1,-8,100
Good,69,142,3,74,47,0,0,100,-7,7,8,47,1,32,0,7,7,32,80,15,4,1,71
Bad,63,496,5,81,28,2,2,91,4,4,6,37,3,27,5,0,0,54,88,14,4,0,82
Good,73,422,2,62,42,0,0,98,11,4,6,43,8,23,0,4,4,12,-8,4,2,0,44
Bad,73,489,3,63,29,0,0,93,21,6,6,27,3,47,0,2,2,31,80,2,4,1,46
Bad,76,94,2,49,25,0,0,100,-7,7,8,30,5,33,-7,4,4,20,81,2,4,0,40
Bad,81,261,5,62,25,0,0,100,-7,7,8,17,2,52,5,0,0,6,35,5,6,0,100
Bad,67,228,19,126,10,0,0,82,15,6,6,12,0,18,-7,3,3,37,-8,6,1,1,88
Bad,67,85,2,40,23,1,1,100,-7,6,8,24,3,83,-7,2,1,82,79,1,9,1,92
Bad,73,94,1,41,13,0,0,100,-7,7,8,21,5,67,-7,3,3,0,97,1,3,-8,67
Bad,79,190,3,53,27,0,0,100,-7,7,8,28,2,4,-7,0,0,55,-8,2,-8,1,50
Good,75,285,6,111,10,0,0,100,-7,7,8,10,1,40,13,0,0,96,11,4,2,3,100
Good,79,243,7,91,25,0,0,100,-7,7,8,26,1,28,19,0,0,25,-8,4,1,1,83
Bad,72,208,14,97,33,0,0,100,-7,7,8,26,0,18,0,1,1,35,83,8,2,3,48
Bad,61,135,2,52,15,0,0,94,51,6,6,17,2,29,0,1,1,11,-8,2,1,1,43
Bad,74,193,2,84,14,0,0,100,-7,7,8,21,3,27,4,2,2,77,-8,5,-8,2,83
Bad,64,246,16,106,5,3,3,88,57,6,3,8,0,88,-7,1,1,-8,144,-8,4,-8,100
Good,88,170,3,87,14,0,0,100,-7,7,8,15,1,29,2,1,1,1,97,1,2,0,67
Bad,61,208,6,96,24,3,2,74,44,6,2,27,3,63,-7,2,2,53,77,6,4,2,92
Good,73,199,15,68,33,0,0,100,-7,7,8,13,0,33,-7,0,0,26,88,3,3,2,40
Good,87,327,6,117,19,0,0,96,-7,5,7,23,3,43,5,0,0,9,-8,5,1,0,60
Bad,62,166,1,54,38,2,2,95,-8,6,3,44,4,32,1,3,3,80,93,5,2,3,78
Bad,73,190,19,68,37,0,0,100,-7,7,8,41,0,7,0,0,0,41,-8,14,1,7,63
Good,72,154,2,76,47,0,0,100,-7,7,8,12,3,13,3,2,2,20,-8,9,4,1,48
Bad,64,286,1,72,35,0,0,100,-7,7,8,36,4,39,3,3,3,73,79,10,5,3,80
Good,78,319,2,82,53,0,0,98,47,6,6,58,3,24,0,3,3,12,-8,3,4,0,58
Good,54,300,10,113,28,1,1,87,2,4,6,30,1,63,9,0,0,62,48,6,5,1,92
Bad,82,127,2,87,33,0,0,97,-8,6,6,34,3,35,0,1,1,6,-8,2,1,0,50
Good,57,240,7,78,17,1,0,67,2,4,5,18,1,67,0,0,0,93,62,3,3,2,86
Bad,60,410,7,124,29,0,0,97,20,6,6,32,1,25,1,2,2,70,56,10,4,3,83
Bad,70,178,6,114,16,0,0,88,12,6,6,16,2,31,-7,0,0,43,16,7,3,3,92
Good,85,275,2,83,15,0,0,100,-7,7,8,17,1,18,1,1,1,5,-8,2,-8,1,25
Good,77,70,3,37,9,0,0,100,-7,7,8,9,2,11,0,1,1,14,-8,2,-8,0,67
Bad,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Bad,59,191,6,82,46,0,0,93,1,4,6,7,1,9,3,1,1,55,64,21,1,7,65
Bad,65,79,9,40,11,1,0,77,8,4,5,13,1,46,0,2,2,0,96,0,2,-8,75
