RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
Good,58,135,15,71,17,1,1,83,2,4,2,18,0,33,15,0,0,45,-8,2,1,0,75
Bad,75,247,1,80,28,0,0,87,17,6,6,46,2,23,-7,2,2,8,97,4,2,1,40
Bad,74,68,4,36,15,0,0,100,-7,7,8,15,3,47,0,0,0,86,94,1,2,1,75
Good,66,394,7,123,28,2,2,93,1,0,2,31,1,0,0,1,1,12,-8,6,-8,0,41
Bad,60,59,3,31,14,0,0,93,-8,6,6,14,4,36,0,5,4,57,48,8,4,1,100
Bad,48,158,5,65,27,1,0,77,2,3,5,31,5,48,0,1,1,72,45,5,4,2,82
Good,82,153,5,85,12,0,0,87,64,6,6,15,2,67,-8,0,0,1,73,1,5,0,86
Good,78,295,9,91,28,0,0,100,-7,7,8,28,1,4,0,1,1,23,-8,12,-8,1,71
Bad,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Bad,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
Bad,68,116,1,51,20,0,0,100,-7,7,8,21,2,24,0,2,2,50,-8,6,1,2,64
Good,70,156,5,58,3,0,0,100,-7,7,8,3,1,33,1,2,2,95,88,1,1,-8,100
Good,77,127,6,54,27,0,0,100,-7,7,8,27,1,41,0,0,0,33,34,4,8,1,63
